filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0,ticker,filedateobj,prevfiledateobj,nextfiledateobj,stockprice0,stockprice1,stockpricefuture,marketprice0,marketprice1,marketpricefuture,stockreturn0,stockreturnfuture,marketreturn0,marketreturnfuture,beatmarket0,beatmarketfuture
1/29/2015,10/2/2014,3/31/2015,0.987596409,0.830777678,0.84110543,0.830860763,0.989681686,0.892325607,0.892862828,0.883165206,1332,441,418,432,1911,1438,681,581,572,1773,2258,1418,920,942,2997,84662,35081,33801,35355,98282,MKC,1/29/2015,10/2/2014,3/31/2015,72.6,67.5,77.11,2021.25,1946.170044,2067.889893,0.072837324,0.060268052,0.037852771,0.02281258,TRUE,TRUE
1/29/2015,10/20/2014,4/17/2015,0.980280139,0.948312049,0.942573395,0.938829839,0.990085277,0.959555366,0.952175907,0.950998085,506,276,267,268,447,1377,701,740,743,1391,1644,1006,1008,1008,1405,65344,35741,37397,37479,57617,NFLX,1/29/2015,10/20/2014,4/17/2015,443.8,359.22,571.55,2021.25,1904.01001,2081.179932,0.211438996,0.252977958,0.059753938,0.029218876,TRUE,TRUE
1/29/2015,10/22/2014,4/22/2015,0.98356479,0.94915125,0.948859826,0.955013507,0.989345892,0.953322215,0.953255296,0.957647538,1140,380,470,475,1188,1716,922,1114,975,1770,2100,1255,1446,1264,2213,81592,36278,42405,39711,87413,SLB,1/29/2015,10/22/2014,4/22/2015,81.9,95.99,92.16,2021.25,1927.109985,2107.959961,-0.158745029,0.118027206,0.047694668,0.042004505,FALSE,TRUE
1/29/2015,11/21/2014,4/30/2015,0.775416459,0.745189518,0.953738887,0.888132886,0.844629128,0.863498694,0.972881845,0.9106101,612,660,401,2107,369,2009,2022,1268,5154,920,3301,3880,1929,7600,1765,71151,69163,41937,172478,43851,V,1/29/2015,11/21/2014,4/30/2015,248,254.22,66.05,2021.25,2063.5,2085.51001,-0.024771288,-1.323016715,-0.020687438,0.031297303,FALSE,FALSE
1/29/2015,11/13/2014,4/30/2015,0.955711585,0.942846133,0.943914038,0.919677727,0.960687466,0.94532772,0.946028464,0.922264956,189,169,170,1083,340,646,618,639,1878,1081,1130,943,986,2474,1974,34603,33613,34298,104262,45170,VIAB,1/29/2015,11/13/2014,4/30/2015,67.49,71.2,69.45,2021.25,2039.329956,2085.51001,-0.05351338,0.02862763,-0.008905169,0.031297303,FALSE,FALSE
1/30/2015,10/24/2014,4/24/2015,0.984685075,0.957019957,0.955072626,0.960024912,0.99229044,0.962994277,0.959043419,0.963971465,697,365,360,365,708,2610,1187,1233,1044,2650,2377,1262,1217,1170,2594,84858,40094,39538,42538,91736,AMZN,1/30/2015,10/24/2014,4/24/2015,354.53,287.06,445.1,1994.98999,1964.579956,2117.689941,0.211101715,0.227506007,0.015360573,0.059686811,TRUE,TRUE
1/30/2015,11/24/2014,4/30/2015,0.722199473,0.724187294,0.980065606,0.964968181,0.814288692,0.819885684,0.98504076,0.962773242,1243,1140,711,2052,678,1773,1518,1485,3718,1656,3444,2545,1690,4607,1709,82778,68227,54652,153323,58223,APD,1/30/2015,11/24/2014,4/30/2015,145.61,144.75,143.43,1994.98999,2069.409912,2085.51001,0.005923698,-0.015084703,-0.036624467,0.044374402,TRUE,FALSE
1/30/2015,11/12/2014,4/29/2015,0.775612789,0.977617728,0.979275188,0.960772401,0.864462869,0.980983147,0.983155757,0.96116206,814,500,484,1207,452,1223,1374,1269,2502,1241,2580,1979,1771,3442,1696,74494,66329,63762,120675,59394,BEN,1/30/2015,11/12/2014,4/29/2015,51.53,56.97,52.02,1994.98999,2038.25,2106.850098,-0.100360651,0.009464098,-0.021452564,0.054554955,FALSE,FALSE
1/30/2015,11/14/2014,4/24/2015,0.952416832,0.942731385,0.94176944,0.926092019,0.977375255,0.953328804,0.951700498,0.941346326,623,655,739,1770,557,2197,2693,2765,5202,2420,1955,2069,2163,4414,2285,68932,76065,79438,160970,74415,JCI,1/30/2015,11/14/2014,4/24/2015,40.81,42.4,40.04,1994.98999,2039.819946,2117.689941,-0.038221213,-0.019048195,-0.022222509,0.059686811,FALSE,FALSE
1/30/2015,10/17/2014,4/21/2015,0.982504971,0.93538643,0.351066484,0.945335463,0.98880582,0.934940981,0.526939388,0.944344888,1314,233,117,181,1071,2607,746,418,809,2389,3369,1521,231,1146,2711,119691,41356,15367,38076,110600,KSU,1/30/2015,10/17/2014,4/21/2015,110.09,115.79,105.17,1994.98999,1886.76001,2097.290039,-0.050479993,-0.045720125,0.055777955,0.050007021,FALSE,FALSE
